Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1N4WFXhgmkrTRxK0X7R90u,Hunnids,Local Mvp,Sainté,2021-01-06,166000,63,false,,2025-11-08T23:18:52Z,uk drill,YSM collective,0.776,0.464,8,-11.044,0,0.0553,0.79,0.000521,0.109,0.52,129.07,4
spotify:track:07fNxq0gkGFZpAYCTd0v2A,a good man with a broken heart,a good man with a broken heart,LoVibe.,2025-05-12,118695,70,false,,2025-10-22T17:06:45Z,,Topspot Records,0.812,0.6,0,-5.546,1,0.114,0.394,0.822,0.102,0.0544,91.791,4
spotify:track:62Da3JOu9H9EIgmqV7DoLG,Lux Aeterna,Requiem for a Dream / OST,Clint Mansell;Kronos Quartet,2000,234400,64,false,,2025-10-21T22:05:04Z,"soundtrack,score,minimalism,contemporary classical,avant-garde",Nonesuch,0.38,0.246,7,-13.955,0,0.0329,0.872,0.905,0.084,0.0573,133.805,4
spotify:track:2nLeVfLE8t3hzHhXkZ6Ez2,La Câlin,La Câlin,Serhat Durmus,2017-04-10,172008,1,false,,2025-10-21T22:02:39Z,,Serhat Durmus,0.598,0.439,2,-10.987,1,0.0429,0.0879,0.868,0.103,0.0673,147.84,4
spotify:track:6tDDoYIxWvMLTdKpjFkc1B,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020-12-04,160191,87,false,,2025-10-21T16:14:36Z,,EMI / Interscope,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,4
spotify:track:0ZFQxmNIOj03o7OMaiPcVX,Alternative Outro,Alternative Trap,LUCKI,2013-02-25,290063,70,true,,2025-10-15T20:09:25Z,cloud rap,Lucki Eck$,0.287,0.442,11,-12.956,1,0.0422,0.911,0.000444,0.349,0.164,116.009,4
spotify:track:0iUZ8B9rwwu7YhXDq9xsoC,انا عايش وسط مدمنين,انا عايش وسط مدمنين,ZIAD ZAZA,2025-03-29,213600,36,false,,2025-10-12T22:58:10Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Global,0.676,0.801,6,-2.506,1,0.0844,0.447,0,0.235,0.615,99.968,4
spotify:track:339xW7VUrZEtBpvc4wSlqg,GABOLNA HKOMA,525,ZIAD ZAZA;ZIEN4L;5mstashr,2024-05-25,123310,50,false,,2025-10-12T22:57:50Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Global,0.604,0.786,6,-3.979,0,0.273,0.25,0,0.221,0.473,93.684,4
spotify:track:2Mv3lhZmdcCFjSWpMKf70i,MAREED,SAN STEFANO,Afroto,2022-06-09,216710,42,false,,2025-10-12T01:14:35Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",The Basement Records,0.82,0.513,1,-10.434,1,0.0988,0.426,0,0.0794,0.585,152.016,4
spotify:track:1x7Ph4JtQcbCXUScvRPqIe,Star,Star,Arsenik,2022-02-02,199565,47,false,,2025-10-12T01:14:05Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Arsenik,0.758,0.536,10,-11.103,0,0.224,0.407,0.00000203,0.0996,0.59,118.071,4
spotify:track:5ZG3gkn9Xlw7bMJ1He51YI,El Hob Fein,CTRL,Marwan Pablo,2021-03-29,163352,53,false,,2025-10-12T01:14:04Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Quality Clique,0.753,0.289,5,-17.709,0,0.0642,0.094,0.000393,0.0975,0.318,97,4
spotify:track:6oU2lMYOtnoqCXlFGFCsfs,Talata Zayaha,Beyt El Ro3b,Abyusif;Abo El Anwar,2023-02-15,207789,56,false,,2025-10-12T01:13:00Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Abyusif,0.627,0.45,4,-11.047,0,0.0884,0.746,0,0.0896,0.399,149.982,4
spotify:track:7FeflOB46MGCh7Wzj1JuOW,Wala Yehemak,6 Shohour,Lege-Cy,2025-06-10,118695,47,false,,2025-10-12T01:12:57Z,"egyptian hip hop,arabic hip hop,egyptian pop",AWAL,0.477,0.766,5,-6.07,0,0.405,0.501,0.000034,0.237,0.566,91.943,4
spotify:track:5Wey1olhqWorzcFEoQifcQ,FAWATER EL 3ETAB,الرجل الذي فقد قلبه,Marwan Moussa,2025-05-05,217000,50,false,,2025-10-12T01:12:54Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Universal Arabic Music,0.659,0.422,10,-13.571,0,0.125,0.909,0.000661,0.215,0.677,109.905,4
